   ,Name                   ,Occupation                                        ,Address                                           ,Assignment                                                                                                                                        ,Party      ,Phone Number ,District      ,Counties                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,Email
77 ,Cleave Simpson         ,Farmer/Rancher                                    ,"200 E ColfaxRM 346Denver, CO 80203United States" ,Agriculture & Natural Resources; Legislative Council; Finance; Transportation & Energy                                                            ,Republican ,303-866-4875 ,['6']         ,"['Alamosa, Conejos, Dolores, Mineral, Montrose, Rio Grande, San Juan, Archuleta, Costilla, La Plata, Montezuma, Ouray, Saguache, San Miguel']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,cleave.simpson.senate@coleg.gov
78 ,Emily Sirota           ,Administrator/Social Worker                       ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Appropriations; Joint Budget Committee                                                                                                            ,Democrat   ,303-866-2910 ,['9']         ,"['Arapahoe, Denver']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,emily.sirota.house@coleg.gov
79 ,Jim Smallwood          ,                                                  ,"200 E ColfaxRM 346Denver, CO 80203United States" ,Finance; Legislative Council; Health & Human Services                                                                                             ,Republican ,303-866-4869 ,['2']         ,['Douglas']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,SenatorSmallwood@gmail.com
80 ,Marc Snyder            ,Attorney                                          ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Finance; Judiciary                                                                                                                                ,Democrat   ,303-866-2932 ,['18']        ,"['El Paso, Teller']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,marc.snyder.house@coleg.gov
81 ,Matt Soper             ,Professional Researcher and Writer                ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Committee on Legal Services; Judiciary; Finance                                                                                                   ,Republican ,303-866-2583 ,['54']        ,"['Delta, Mesa']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,matthew.soper.house@coleg.gov
82 ,Tammy Story            ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Capital Development Committee; Agriculture, Water & Natural Resources; Education"                                                                ,Democrat   ,303-866-2582 ,['25']        ,['Jefferson']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,tammy.story.house@coleg.gov
83 ,Tom Sullivan           ,                                                  ,"200 E ColfaxRM 346Denver, CO 80203United States" ,"State, Veterans, & Military Affairs; Business, Labor, & Technology"                                                                              ,Democrat   ,303-866-4873 ,['27']        ,"['Arapahoe, Douglas']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,tom.sullivan.senate@coleg.gov
84 ,Rick Taggart           ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Appropriations; Joint Budget Committee                                                                                                            ,Republican ,303-866-3068 ,['55']        ,['Mesa']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,rick.taggart.house@coleg.gov
85 ,Brianna Titone         ,Geologist/Software Dev.                           ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Joint Technology Committee; Agriculture, Water & Natural Resources; Energy & Environment"                                                        ,Democrat   ,303-866-2962 ,['27']        ,['Jefferson']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,brianna.titone.house@coleg.gov
86 ,Alex Valdez            ,Renewable Energy Entrepreneur                     ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Energy & Environment; Transportation, Housing & Local Government"                                                                                ,Democrat   ,303-866-2925 ,['5']         ,['Denver']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,alex.valdez.house@coleg.gov
87 ,Kevin Van Winkle       ,Small Business Owner                              ,"200 E ColfaxRM 346Denver, CO 80203United States" ,Committee on Legal Services; Judiciary; Finance; Legislative Audit Committee                                                                      ,Republican ,303-866-4881 ,['30']        ,['Douglas']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,kevin.vanwinkle.senate@coleg.gov
88 ,Elizabeth Velasco      ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Agriculture, Water & Natural Resources; Energy & Environment; Appropriations"                                                                    ,Democrat   ,303-866-2949 ,['57']        ,"['Eagle, Pitkin, Garfield']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,elizabeth.velasco.house@coleg.gov
89 ,Stephanie Vigil        ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Energy & Environment; Transportation, Housing & Local Government"                                                                                ,Democrat   ,303-866-2937 ,['16']        ,['El Paso']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,stephanie.vigil.house@coleg.gov
90 ,Ron Weinberg           ,Founder and Owner – 365 IT – Technology Solutions ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Finance; Joint Technology Committee; Health & Human Services                                                                                      ,Republican ,303-866-2947 ,['51']        ,['Larimer']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,ron.weinberg.house@coleg.gov
91 ,Mike Weissman          ,Attorney                                          ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Committee on Legal Services; Judiciary                                                                                                            ,Democrat   ,303-866-2942 ,['36']        ,"['Adams, Arapahoe']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,mike.weissman.house@coleg.gov
92 ,Perry Will             ,                                                  ,"200 E ColfaxRM 346Denver, CO 80203United States" ,Health & Human Services                                                                                                                           ,Republican ,303-866-5292 ,['5']         ,"['Delta, Garfield, Hinsdale, Pitkin, Eagle, Gunnison, Montrose']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,perry.will.senate@coleg.gov
93 ,Jenny Willford         ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Energy & Environment; State, Civic, Military, & Veterans Affairs"                                                                                ,Democrat   ,303-866-2931 ,['34']        ,['Adams']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,jenny.willford.house@coleg.gov
94 ,Don Wilson             ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Committee on Legal Services; Pension Review Subcommittee; Education; Transportation, Housing & Local Government"                                 ,Republican ,303-866-2191 ,['20']        ,['El Paso']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,don.wilson.house@coleg.gov
95 ,Faith Winter           ,                                                  ,"200 E ColfaxRMDenver, CO 80203United States"     ,Legislative Council; Transportation & Energy; Local Government & Housing                                                                          ,Democrat   ,303-866-4863 ,['25']        ,"['Adams, Weld, Broomfield']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,faith.winter.senate@coleg.gov
96 ,Ty Winter              ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"Agriculture, Water & Natural Resources; Energy & Environment"                                                                                    ,Republican ,303-866-2747 ,['47']        ,"['Baca, Crowley, Kiowa, Otero, Pueblo, Bent, Huerfano, Las Animas, Prowers']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,ty.winter.house@coleg.gov
97 ,Steven Woodrow         ,                                                  ,"200 E ColfaxRM 307Denver, CO 80203United States" ,"State, Civic, Military, & Veterans Affairs; Judiciary"                                                                                           ,Democrat   ,303-866-2967 ,['2']         ,['Denver']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,steven.woodrow.house@coleg.gov
98 ,Mary Young             ,School Psychologist                               ,"200 E ColfaxRM 307Denver, CO 80203United States" ,Health & Human Services; Education                                                                                                                ,Democrat   ,303-866-2929 ,['50']        ,['Weld']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,mary.young.house@coleg.gov
99 ,Rachel Zenzinger       ,Education                                         ,"200 E ColfaxRM 346Denver, CO 80203United States" ,Appropriations; Joint Budget Committee                                                                                                            ,Democrat   ,303-866-4840 ,['19']        ,"['Adams, Jefferson']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,senatorrachelz@gmail.com
